Data Source in SDW: http://sdw/quickview.do?SERIES_KEY=6.BISM.D.QKBA.US.02
,BISM.D.QKBA.US.02
,"United States - EXCH.RATE: US DOLLARS/1 EUR,SPOT AT 2:15 PM (CET)D& W,M,Q,A-AVG - NATIONAL CURRENCY EQUIVALENTS OF EURO (ECB REFERENCE RATE)"
Collection:,Middle of period (M)
Period\Unit:,[US dollar ]
2018-01-12,1.213700000
2018-01-11,1.201700000
2018-01-10,1.199200000
2018-01-09,1.193200000
2018-01-08,1.197300000
2018-01-05,1.204500000
2018-01-04,1.206500000
2018-01-03,1.202300000
2018-01-02,1.206500000
2017-12-29,1.199300000
2017-12-28,1.193400000
2017-12-27,1.189500000
2017-12-22,1.185300000
2017-12-21,1.185900000
2017-12-20,1.184500000
2017-12-19,1.182300000
2017-12-18,1.179500000
2017-12-15,1.180600000
2017-12-14,1.184500000
2017-12-13,1.173600000
2017-12-12,1.176600000
2017-12-11,1.179600000
2017-12-08,1.174200000
2017-12-07,1.178600000
2017-12-06,1.181700000
2017-12-05,1.184700000
2017-12-04,1.186500000
2017-12-01,1.188500000
2017-11-30,1.184900000
2017-11-29,1.182700000
2017-11-28,1.188800000
2017-11-27,1.195200000
2017-11-24,1.187700000
2017-11-23,1.184800000
2017-11-22,1.174900000
2017-11-21,1.171800000
2017-11-20,1.178100000
2017-11-17,1.179500000
2017-11-16,1.177100000
2017-11-15,1.184000000
2017-11-14,1.174500000
2017-11-13,1.165600000
2017-11-10,1.165400000
2017-11-09,1.163000000
2017-11-08,1.159000000
2017-11-07,1.156200000
2017-11-06,1.159000000
2017-11-03,1.165700000
2017-11-02,1.164500000
2017-11-01,1.161200000
2017-10-31,1.163800000
2017-10-30,1.161200000
2017-10-27,1.160500000
2017-10-26,1.175300000
2017-10-25,1.178500000
2017-10-24,1.176100000
2017-10-23,1.174000000
2017-10-20,1.181800000
2017-10-19,1.183400000
2017-10-18,1.174900000
2017-10-17,1.175900000
2017-10-16,1.180300000
2017-10-13,1.181000000
2017-10-12,1.185600000
2017-10-11,1.183000000
2017-10-10,1.179700000
2017-10-09,1.174600000
2017-10-06,1.170700000
2017-10-05,1.174200000
2017-10-04,1.178700000
2017-10-03,1.175300000
2017-10-02,1.174400000
2017-09-29,1.180600000
2017-09-28,1.177800000
2017-09-27,1.174100000
2017-09-26,1.178700000
2017-09-25,1.186700000
2017-09-22,1.196100000
2017-09-21,1.190500000
2017-09-20,1.200700000
2017-09-19,1.197200000
2017-09-18,1.194800000
2017-09-15,1.196300000
2017-09-14,1.188500000
2017-09-13,1.197900000
