ISIN,NAME,count,avgSharesEU,avgSharesEUplus,avgSharesUS,avgSharesUSplus
US4523081093,ILLINOIS TOOL WORKS,92,0.121827543591279,0.290289053454278,0.380719084080727,0.523814542339454
US4581401001,INTEL,92,0.115825818812513,0.193043031354188,0.224439723231327,0.224439723231327
US45866F1049,INTERCONTINENTAL EX.,54,0.222826248661631,0.445652497323262,0.58768969998442,0.58768969998442
US4592001014,INTERNATIONAL BUS.MCHS.,92,0,0.320064630509413,0.290199967871409,0.386933290495212
US4595061015,INTL.FLAVORS & FRAG.,92,0.0756656615128076,0.386960931904656,0,0.217479838866448
US4599021023,INTERNATIONAL GAME TECH. DEAD - ACQD.BY 9437JT,51,0,0,0.78528196158851,0.78528196158851
US4601461035,INTERNATIONAL PAPER,92,0.0870770784996313,0.118040637632205,0.781315292518822,0.781315292518822
US4606901001,INTERPUBLIC GROUP,92,0.251597828264889,0.251597828264889,0.57287546953846,0.57287546953846
US4612021034,INTUIT,81,0,0,0.982746600233127,0.982746600233127
US46120E6023,INTUITIVE SURGICAL,51,0,0,0.83819479563196,0.83819479563196
US46284V1017,IRON MOUNTAIN,48,0.0740787933680349,0.0925984917100436,0.711513685767244,0.711513685767244
US46625H1005,JP MORGAN CHASE & CO.,92,0,0.142304260524684,0.392342792460284,0.772997326686296
US4663131039,JABIL,55,0.110305588245333,0.183842647075555,0.272845177345537,0.272845177345537
US4698141078,JACOBS ENGR.,53,0.178150959823555,0.178150959823555,0.709794337660165,0.709794337660165
US47102X1054,JANUS CAPITAL GP. DEAD - DELIST.30/05/17,45,0.00935234197767003,0.0374093679106801,0.901844594016204,0.901844594016204
US47233W1099,JEFFERIES FINANCIAL GROUP,48,0.0696011396805907,0.0870014246007384,0.529845526085689,0.662306907607112
US4781601046,JOHNSON & JOHNSON,92,0.234948295540591,0.234948295540591,0.53098585961143,0.53098585961143
US4783661071,JOHNSON CONTROLS DEAD - DELIST.06/09/16,74,0.331585966070954,0.331585966070954,0.472315447353713,0.472315447353713
US48203R1041,JUNIPER NETWORKS,59,0,0.283873203061239,0.428596638784221,0.518993925605927
US4824801009,KLA,92,0.049413802398166,0.112377128724589,0.144916952180763,0.225554617894067
US4858651098,KATE SPADE & COMPANY DEAD - DELIST.12/07/17,43,0,0,0.739074795302064,0.739074795302064
US48666K1097,KB HOME,47,0.0272615273813369,0.0340769092266712,0.94854807957979,0.94854807957979
US4878361082,KELLOGG,92,0.0956902298042155,0.159483716340359,0.482754593918778,0.616539917976476
US4932671088,KEYCORP,92,0,0,1,1
US4943681035,KIMBERLY-CLARK,92,0.126330954124842,0.157913692656053,0.334203485580752,0.545347209858974
US49446R1095,KIMCO REALTY,59,0,0,1,1
US4955821081,KING PHARMS. DEAD - DELIST.01/03/11,40,0,0,1,1
US5002551043,KOHL'S,88,0,0,1,1
US5010441013,KROGER,92,0,0,1,1
US5021611026,LSI DEAD - ACQD.BY 54332K,65,0.085668066530981,0.170708534662498,0.204396541532139,0.455958164989066
US5024131071,L3 TECHNOLOGIES DEAD - DELIST.01/07/19,59,0.025077250713591,0.0334363342847879,0.855977396000048,0.855977396000048
US5024311095,L3HARRIS TECHNOLOGIES,57,0,0,0.914649535395825,0.914649535395825
US50540R4092,LABORATORY CORP.OF AM. HDG.,65,0.0270451049826519,0.0270451049826519,0.75,0.956125478413278
US5184391044,ESTEE LAUDER COS.'A',60,0,0.355455502387515,0.121773380965467,0.396045267347643
US5246601075,LEGGETT&PLATT,85,0.0712059451696518,0.0890074314620648,0.744547855596582,0.744547855596582
US5249011058,LEGG MASON DEAD - DELIST.03/08/20,42,0.0830378061442636,0.0830378061442636,0.828588533987823,0.828588533987823
US5249081002,LEHMAN BROS.HDG. DEAD - DELIST.06/03/12,42,0.123069036226931,0.278058007292196,0.608238145524823,0.608238145524823
US5260571048,LENNAR 'A',61,0,0,1,1
US5297711070,LEXMARK INTL. DEAD - DELIST.29/11/16,53,0.198666184237218,0.384753950342816,0.472251062484226,0.472251062484226
US5324571083,ELI LILLY,92,0.106309358058836,0.207704379833318,0.564092028257334,0.564092028257334
US5341871094,LINCOLN NATIONAL,92,0,0,1,1
US5356781063,LINEAR TECHNOLOGY DEAD - DELIST.13/03/17,67,0.183502375156832,0.183502375156832,0.333652866750551,0.333652866750551
US5398301094,LOCKHEED MARTIN,92,0.0193706229548304,0.0968531147741521,0.818027458374669,0.818027458374669
US5404241086,LOEWS,92,0,0,1,1
US5486611073,LOWE'S COMPANIES,92,0,0,0.988182640043751,0.988182640043751
US5502411037,LUMEN TECHNOLOGIES,88,0,0,1,1
US55261F1049,M&T BANK,68,0,0,1,1
US55262C1009,MBIA,47,0.0441558441558442,0.0883116883116883,0.779309731364526,0.779309731364526
US5528481030,MGIC INVESTMENT,43,0,0,1,1
US55616P1049,MACY'S,89,0,0,1,1
US5658491064,MARATHON OIL,92,0.00830566803324216,0.0207641700831054,0.884961963791396,0.884961963791396
US5717481023,MARSH & MCLENNAN,92,0.293905049339205,0.293905049339205,0.539408855085479,0.539408855085479
US5719032022,MARRIOTT INTL.'A',91,0,0,0.949044971731973,0.949044971731973
US5745991068,MASCO,92,0.193997449219856,0.193997449219856,0,0.806321239288556
US57636Q1040,MASTERCARD,50,0,0,0.451981991836949,0.451981991836949
US5770811025,MATTEL,85,0.0973332768870659,0.243333192217665,0.484099954940581,0.601166840355294
US5797802064,MCCORMICK & COMPANY NV.,72,0.127172484549041,0.206614708260081,0.616289583805,0.616289583805
US5801351017,MCDONALDS,92,0.215377806596025,0.358963010993375,0.358094237234287,0.358094237234287
US58155Q1031,MCKESSON,88,0,0,0.882887958293882,0.882887958293882
US5833341077,MEADWESTVACO DEAD - DELIST.02/07/15,69,0.0222980243126302,0.0668940729378906,0.754773008728748,0.754773008728748
US58933Y1055,MERCK & COMPANY,92,0,0.270894271499552,0.543808269058097,0.543808269058097
US5894331017,MEREDITH,52,0,0,1,1
US5901881087,MERRILL LYNCH & CO. DEAD - DELIST.15/01/09,44,0,0.184638544730582,0.665626711808739,0.665626711808739
US59156R1086,METLIFE,81,0,0,0.807254305565772,0.807254305565772
US5949181045,MICROSOFT,92,0,0,0.581852763006996,0.581852763006996
US5950171042,MICROCHIP TECH.,54,0.23902042243012,0.23902042243012,0,0.269010485614158
US5951121038,MICRON TECHNOLOGY,92,0.104798957817798,0.130998697272248,0.356206300632349,0.356206300632349
US6010731098,MILLIPORE DEAD - DELIST.15/07/10,50,0.324431365554774,0.324431365554774,0,0.424819337939702
US6085541018,MOLEX DEAD - ACQD.BY 322739,56,0.109109876788228,0.163664815182341,0.316414047493827,0.316414047493827
US60871R2094,MOLSON COORS BEVERAGE COMPANY B,92,0.266366184511499,0.332957730639373,0.284824595050687,0.75911481261987
US6092071058,MONDELEZ INTERNATIONAL CL.A,55,0.108961283402064,0.248837833996568,0.304698966541481,0.45052208716203
US61166W1018,MONSANTO DEAD - DELIST.07/06/18,63,0,0.12168915140311,0.558820964417685,0.558820964417685
