date,release_type,spx,vix,edcm1,edcm2,edcm3,edcm4,ffc1,ffc2,ffc3,ffc4,ffc5,fvc1,fvc2,fvc3,tuc1,tuc2,tuc3,tyc1,tyc2,tyc3,usc1,usc2,usc3,duration_10y,duration_2y,duration_5y,duration_30y,duration_3y,duration_7y,tyc1_yield,tyc2_yield,tuc1_yield,tuc2_yield,fvc1_yield,fvc2_yield,usc1_yield,usc2_yield,mpc1
21mar2018,Press Conference,-.5254660906163856,4.773487382183013,-.019999999999996,-.0250000000000057,-.0324999999999847,-.0374999999999943,0,-.0049999999999955,0,0,-.0049999999999955,,-.18359375,,-.0546875,-.05859375,,-.2734375,-.09375,,-.453125,,,8.699999999999999,1.913,4.662,19.742,2.817,6.357,-.0430136070473494,-.0147475224162341,-.0285872974385782,-.0306292472556194,,-.0393808987558988,-.0520833333333333,,0
13jun2018,Press Conference,-.1668204982707569,2.665589660743149,-.0049999999999955,-.0150000000000006,-.0099999999999909,-.0100000000000051,-.0024999999999977,.0050000000000097,-.0049999999999955,-.0050000000000097,-.0050000000000097,-.05078125,-.05078125,,-.015625,-.0234375,,-.0703125,-.0546875,,0,-.09375,,8.677,1.926,4.668,19.628,2.826,6.352,-.0110693482367758,-.0086094930730479,-.0081126687435099,-.0121690031152648,-.010878588260497,-.010878588260497,0,-.0108044254926818,-.0044117649
26sep2018,Press Conference,-.7372555716847421,10.72649572649573,.0049999999999955,0,-.0049999999999955,-.0024999999999977,-.0024999999999977,0,0,-.0024999999999977,0,-.078125,-.06640625,,-.0234375,-.0078125,,-.171875,-.078125,,-.59375,,,8.635999999999999,1.883,4.626,19.661,2.786,6.232,-.0275794287548139,-.0125361039794608,-.0124468932554434,-.0041489644184811,-.0168882403804583,-.0143550043233895,-.0687528948587309,,0
19dec2018,Press Conference,-1.331289428689342,4.900938477580802,.0050000000000097,.0074999999999932,0,-.0049999999999955,-.0024999999999977,0,0,0,-.0049999999999955,-.0390625,-.0703125,,.0078125,-.0234375,-.03125,-.34375,-.1796875,-.203125,-.6875,-.4375,,8.589,1.904,4.639,19.392,2.796,6.338,-.0542363521615652,-.0283508204480909,.0041032037815126,-.0123096113445378,-.008420456995042,-.0151568225910757,-.0800442426359297,-.0509372453137734,-.0064583332
30jan2019,Press Conference,.0360272911397185,-2.265193370165766,-.0050000000000097,-.0200000000000102,-.0299999999999869,-.0349999999999966,-.0024999999999977,-.0024999999999977,.0049999999999955,0,-.0049999999999955,-.16015625,-.2109375,,-.06640625,-.064453125,,-.25,-.2421875,,-.3125,-.40625,,8.48,1.874,4.63,19.233,2.775,6.352,-.0393576826196474,-.0381277550377834,-.0354355656350053,-.0343933431163287,-.0345909827213823,-.0455588552915767,-.0368514150943396,-.0479068396226415,-.0024999999
20mar2019,Press Conference,-.2229721267201458,.3703703703703756,.0049999999999955,.0049999999999955,.0049999999999955,-.0050000000000097,0,.0049999999999955,.0050000000000097,.0049999999999955,.0099999999999909,-.3515625,-.0390625,,-.109375,.0078125,,-.78125,-.1015625,,0,-.234375,,8.768000000000001,1.91,4.693,19.915,2.812,6.413,-.1218228598159987,-.0158369717760798,-.0572643979057592,.0040903141361257,-.0749121031323247,-.0083235670147027,0,-.0267307253649635,0
01may2019,Press Conference,-.8030203456662962,7.238095238095233,.0324999999999989,.0750000000000028,.0949999999999989,.1049999999999898,0,.0050000000000097,.0250000000000057,.039999999999992,.0550000000000068,.39453125,.3515625,,.189453125,.220703125,,.46875,.5078125,,.453125,.4375,,8.654999999999999,1.795,4.579,19.875,2.873,6.426,.0729458450046685,.0790246654217242,.1055449164345404,.1229543871866295,.0861610067700371,.0767771347455776,.0523541305603697,.0505488157134604,0
19jun2019,Press Conference,.2267973174290028,-5.767318528339416,-.0650000000000119,-.0750000000000028,-.0699999999999932,-.0625000000000142,-.0012499999999989,0,-.0499999999999972,-.0525000000000091,-.0525000000000091,-.4453125,-.14453125,,-.08203125,-.103515625,,-1.171875,-.1328125,,-1.21875,-.234375,-1.28125,8.885,1.915,4.625,20.567,2.828,6.492,-.1805106284658041,-.0204578712261245,-.0428361618798956,-.0540551566579634,-.0962837837837838,-.03125,-.1371693866066404,-.0263787281935847,-.0034090909
31jul2019,Press Conference,-.7000847077582281,9.764185703758287,.0249999999999915,.0400000000000063,.039999999999992,.0450000000000017,.0024999999999977,.0024999999999977,.0100000000000051,.019999999999996,.0200000000000102,.109375,.1015625,,.083984375,.04296875,,.0859375,.109375,,-.125,-.4375,,8.771000000000001,1.892,4.725,20.473,2.808,6.509,.0132028729451529,.0168036564756491,.0443892045454546,.0227107558139535,.0231481481481482,.021494708994709,-.01425151066013,-.0498802873104549,.0024999999
18sep2019,Press Conference,.6158744613818751,-8.618463524854727,.0349999999999966,.0175000000000125,.0174999999999983,.0200000000000102,.0124999999999886,.0150000000000006,.0200000000000102,.0250000000000057,.019999999999996,,.16796875,,.13671875,.06640625,,.375,.25,,.3125,.421875,,9.172000000000001,1.924,4.807,21.895,2.853,6.64,.0564759036144578,.0376506024096386,.0710596413721414,.034514682952183,,.0349425317245683,.0340710859136502,.0459959659834278,.03125
