year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2007,3,-0.08628984,0.88763,-0.08628984,-0,-0.0879524,0.00166256,-0.09379696,0.00750712,-0.07029676,-0.01599308,-0.09084524,0.0045554,-0.05587284,-0.030417
2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5,0.03742549,-0.1418,0.03742549,0,0.0258708,0.01155469,0.03361181,0.00381368,0.01624295,0.02118254,0.03646344,0.00096205,0.01061554,0.02680995
2007,6,0.01073767,-0.28916,0.01073767,0,0.01996561,-0.00922794,0.01686708,-0.00612941,0.01921647,-0.0084788,0.01346343,-0.00272576,0.01695973,-0.00622206
2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,8,-0.03085554,-0.95973,-0.00664206,-0.02421348,0.03301931,-0.06387485,0.00358815,-0.03444369,0.04968001,-0.08053555,-0.0170558,-0.01379974,0.05153694,-0.08239248
2007,9,-0.22202947,1.33054,-0.22202947,-0,-0.17818027,-0.0438492,-0.21362927,-0.0084002,-0.1250267,-0.09700277,-0.22223315,0.00020368,-0.09037708,-0.13165239
2007,10,0.07012084,-0.44209,0.07012084,0,0.05737708,0.01274376,0.06810405,0.00201679,0.04076753,0.02935331,0.07044952,-0.00032868,0.02976801,0.04035283
2007,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,12,0.04145024,-1.59674,0.04145024,0,0.10132841,-0.05987817,0.07908044,-0.0376302,0.10232966,-0.06087942,0.05777727,-0.01632703,0.09237615,-0.05092591
2008,1,-0.30638237,-0.16869,-0.13701586,-0.16936651,-0.14467573,-0.16170664,-0.23651036,-0.06987201,-0.05508574,-0.25129663,-0.28244485,-0.02393752,-0.01245341,-0.29392896
2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,0.0528207,-1.13335,0.0528207,0,0.08362175,-0.03080105,0.07456836,-0.02174766,0.07759444,-0.02477374,0.06273689,-0.00991619,0.06724023,-0.01441953
2008,4,-0.09298248,0.31143,-0.09298248,-0,-0.0622122,-0.03077028,-0.08231942,-0.01066306,-0.03796099,-0.05502149,-0.09009858,-0.0028839,-0.02408549,-0.06889699
2008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,6,-0.01366182,0.10337,-0.01366182,-0,-0.01204902,-0.0016128,-0.01376997,0.00010815,-0.00895259,-0.00470923,-0.01393409,0.00027227,-0.00676498,-0.00689684
2008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
