year,month,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2005,11,-0.01026146,0.65821821,-0.01026146,-0,-0.02502617,0.01476471,-0.02136884,0.01110738,-0.01955546,0.009294,-0.01532687,0.00506541,-0.01278389,0.00252243
2005,12,-0.02670689,0.46817372,-0.02670689,-0,-0.02750456,0.00079767,-0.03119964,0.00449275,-0.01731694,-0.00938995,-0.02943552,0.00272863,-0.00996712,-0.01673977
2006,1,-0.02225289,0.11555121,-0.02225289,-0,-0.01461912,-0.00763377,-0.02061199,-0.0016409,-0.00702381,-0.01522908,-0.02222087,-3.202e-05,-0.0031655,-0.01908739
2006,2,-0.00833432,0.03444805,-0.00833432,-0,-0.00520839,-0.00312593,-0.0075466,-0.00078772,-0.00239247,-0.00594185,-0.00824818,-8.614e-05,-0.00102029,-0.00731403
2006,3,0.00850003,-0.54361807,0.00850003,0,0.02068152,-0.01218149,0.01766912,-0.00916909,0.01615515,-0.00765512,0.01268238,-0.00418235,0.01055926,-0.00205923
2006,4,-0.08984051,0.31708557,-0.08984051,-0,-0.05450455,-0.03533596,-0.08028527,-0.00955524,-0.02432655,-0.06551396,-0.08845637,-0.00138414,-0.00998274,-0.07985777
2006,5,-0.00191047,-0.03966908,-0,-0.00191047,0.00024381,-0.00215428,-0.00079704,-0.00111343,0.00073454,-0.00264501,-0.00149127,-0.0004192,0.00065653,-0.002567
2006,6,-0.03983118,0.59052958,-0.03983118,-0,-0.03776506,-0.00206612,-0.04441926,0.00458808,-0.02292151,-0.01690967,-0.04299614,0.00316496,-0.01284878,-0.0269824
2006,7,0.02005941,-0.12308404,0.02005941,0,0.01375007,0.00630934,0.01895137,0.00110804,0.00684186,0.01321755,0.02018945,-0.00013004,0.0032077,0.01685171
2006,8,0.02809586,-0.0189868,0.02809586,0,0.01462182,0.01347404,0.02353523,0.00456063,0.00544512,0.02265074,0.02698969,0.00110617,0.00162104,0.02647482
2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,10,-0.00018962,0.09462191,-0.00018962,-0,-0.00295487,0.00276525,-0.00201206,0.00182244,-0.00258548,0.00239586,-0.0009757,0.00078608,-0.00177984,0.00159022
2006,11,-0.00529334,-0.90067325,-0,-0.00529334,0.02457726,-0.0298706,0.01330017,-0.01859351,0.02336401,-0.02865735,0.00250887,-0.00780221,0.01662188,-0.02191522
2006,12,0.01962216,0.69718066,0,0.01962216,-0.01126204,0.0308842,0.00250376,0.0171184,-0.01535949,0.03498165,0.0128834,0.00673876,-0.0121671,0.03178926
2007,1,-0.04150362,0.64494701,-0.04150362,-0,-0.04024611,-0.00125751,-0.0468653,0.00536168,-0.02468293,-0.01682069,-0.04505023,0.00354661,-0.0139428,-0.02756082
2007,2,0.00771568,-0.25462769,0.00771568,0,0.01155427,-0.00383859,0.01135477,-0.00363909,0.00822264,-0.00050696,0.00950645,-0.00179077,0.00511412,0.00260156
2007,3,0.00987209,0.08544726,0,0.00987209,0.0023533,0.00751879,0.00646297,0.00340912,-0.00057141,0.0104435,0.00870981,0.00116228,-0.00115484,0.01102693
2007,4,-0.00346171,-0.32149992,-0,-0.00346171,0.00798687,-0.01144858,0.00345138,-0.00691309,0.00806386,-0.01152557,-0.00060585,-0.00285586,0.00586244,-0.00932415
2007,5,-0.00290809,-0.1173842,-0,-0.00290809,0.00209403,-0.00500212,-9.534e-05,-0.00281275,0.00265555,-0.00556364,-0.00179131,-0.00111678,0.0020664,-0.00497449
2007,6,-0.00703539,-0.11073382,-0,-0.00703539,-0.00017063,-0.00686476,-0.00362841,-0.00340698,0.00175151,-0.0087869,-0.00578854,-0.00124685,0.00175598,-0.00879137
2007,7,0.00075216,-0.12065965,0.00075216,0,0.00402316,-0.003271,0.00298649,-0.00223433,0.00338655,-0.00263439,0.00173157,-0.00097941,0.00229259,-0.00154043
2007,8,-0.00330418,-0.05102855,-0,-0.00330418,-0.00010969,-0.00319449,-0.00172326,-0.00158092,0.00079623,-0.00410041,-0.00272681,-0.00057737,0.0008064,-0.00411058
2007,9,-0.03781337,0.52631203,-0.03781337,-0,-0.0348151,-0.00299827,-0.04149629,0.00368292,-0.02083512,-0.01697825,-0.04052993,0.00271656,-0.01155576,-0.02625761
2007,10,-0.00196639,-0.08321707,-0,-0.00196639,0.00153214,-0.00349853,1.093e-05,-0.00197732,0.00189932,-0.00386571,-0.00117896,-0.00078743,0.00146922,-0.00343561
2007,11,-0.01982925,-0.34910278,-0,-0.01982925,0.00063743,-0.02046668,-0.00950103,-0.01032822,0.0059346,-0.02576385,-0.01600428,-0.00382497,0.00564186,-0.02547111
2007,12,0.01949256,-0.38173808,0.01949256,0,0.02128477,-0.00179221,0.0235568,-0.00406424,0.01371888,0.00577368,0.02182029,-0.00232773,0.00802409,0.01146847
2008,1,-0.00175552,-0.29561503,-0,-0.00175552,0.00805756,-0.00981308,0.00435035,-0.00610587,0.00766524,-0.00942076,0.0008061,-0.00256162,0.00545474,-0.00721026
2008,2,-0.04888653,-0.60503824,-0,-0.04888653,-0.00615526,-0.04273127,-0.02843707,-0.02044946,0.00773602,-0.05662255,-0.04160332,-0.00728321,0.00912397,-0.0580105
2008,3,0.0291067,-0.5644706,0.0291067,0,0.03161515,-0.00250845,0.03506669,-0.00595999,0.02033566,0.00877104,0.03253591,-0.00342921,0.01187787,0.01722883
2008,4,0.00095366,0.04997474,0,0.00095366,-0.00103372,0.00198738,-0.00019389,0.00114755,-0.0011805,0.00213416,0.00049102,0.00046264,-0.00089255,0.00184621
2008,5,-0.0109625,-0.42531973,-0,-0.0109625,0.00737455,-0.01833705,-0.00069631,-0.01026619,0.00954716,-0.02050966,-0.00689689,-0.00406561,0.00746804,-0.01843054
2008,6,0.14343617,-0.43398363,0.14343617,0,0.08483576,0.05860041,0.12676336,0.01667281,0.03688977,0.1065464,0.14061944,0.00281673,0.01458532,0.12885085
2008,7,-0.08438024,1.35320062,-0.08438024,-0,-0.08309224,-0.001288,-0.09610412,0.01172388,-0.05131446,-0.03306578,-0.09194326,0.00756302,-0.02913253,-0.05524771
2008,8,-0.0411749,-0.63727,-0,-0.0411749,-0.0013252,-0.0398497,-0.0214473,-0.0197276,0.00995938,-0.05113428,-0.03396839,-0.00720651,0.01007472,-0.05124962
2008,9,-0.00681325,-0.75548351,-0,-0.00681325,0.01942877,-0.02624202,0.00919964,-0.01601289,0.01918102,-0.02599427,-0.00016186,-0.00665139,0.01383551,-0.02064876
2008,10,-0.05648127,-0.81076049,-0,-0.05648127,-0.00373442,-0.05274685,-0.0306637,-0.02581757,0.01195139,-0.06843266,-0.04712831,-0.00935296,0.01263291,-0.06911418
2008,11,0.196883,-1.30428193,0.196883,0,0.13786499,0.05901801,0.18789453,0.00898847,0.06974794,0.12713506,0.19896736,-0.00208436,0.03328463,0.16359837
2008,12,0.04901022,-1.47784599,0.04901022,0,0.06917478,-0.02016456,0.06938883,-0.02037861,0.04846627,0.00054395,0.05921329,-0.01020307,0.02987256,0.01913766
2009,1,-0.0241724,-0.57152648,-0,-0.0241724,0.00518888,-0.02936128,-0.00871942,-0.01545298,0.01117136,-0.03534376,-0.0182839,-0.0058885,0.00960992,-0.03378232
2009,2,-0.05621161,-0.45809168,-0,-0.05621161,-0.01425943,-0.04195218,-0.03735797,-0.01885364,0.00248638,-0.05869799,-0.04983247,-0.00637914,0.00604321,-0.06225482
2009,3,0.00405386,0.22865964,0,0.00405386,-0.00488458,0.00893844,-0.00114241,0.00519627,-0.00545575,0.00950961,0.00195099,0.00210287,-0.00409783,0.00815169
2009,4,0.08112619,-0.05106089,0.08112619,0,0.04210647,0.03901972,0.06788368,0.01324251,0.01562117,0.06550502,0.07790055,0.00322564,0.00461029,0.0765159
2009,5,-0.02358817,-0.29222154,-0,-0.02358817,-0.00296134,-0.02062683,-0.01371553,-0.00987264,0.00374039,-0.02732856,-0.02007156,-0.00351661,0.00440774,-0.02799591
2009,6,0.03827651,0.01202429,0,0.03827651,0.01877481,0.0195017,0.0313202,0.00695631,0.00639617,0.03188034,0.03645131,0.0018252,0.00149913,0.03677738
2009,7,-0.06540118,-1.66959763,-0,-0.06540118,0.01776501,-0.08316619,-0.02117385,-0.04422733,0.03355024,-0.09895142,-0.04843398,-0.0169672,0.02830827,-0.09370945
2009,8,0.00170221,-0.09544789,0.00170221,0,0.00373613,-0.00203392,0.00327528,-0.00157307,0.00287334,-0.00117113,0.00242709,-0.00072488,0.00186343,-0.00016122
2009,9,-0.04256837,-0.21909921,-0,-0.04256837,-0.01466165,-0.02790672,-0.03079732,-0.01177105,-0.00156439,-0.04100398,-0.03881085,-0.00375752,0.00218392,-0.04475229
2009,10,-0.0231514,-0.17340042,-0,-0.0231514,-0.00633446,-0.01681694,-0.01568579,-0.00746561,0.00061218,-0.02376358,-0.02065231,-0.00249909,0.00220312,-0.02535452
2009,11,-0.01509742,0.80755114,-0.01509742,-0,-0.03195791,0.01686049,-0.02828445,0.01318703,-0.02443243,0.00933501,-0.02119907,0.00610165,-0.0157972,0.00069978
2009,12,-0.03891098,0.31481738,-0.03891098,-0,-0.02897122,-0.00993976,-0.03825333,-0.00065765,-0.0153233,-0.02358768,-0.03980199,0.00089101,-0.00764608,-0.0312649
2010,1,-0.01146139,-0.18183071,-0,-0.01146139,-0.00023464,-0.01122675,-0.00588294,-0.00557845,0.00289207,-0.01435346,-0.0094181,-0.00204329,0.00288752,-0.01434891
