year,month,MP_median_fed,MP_median_ecb,us_wuxia,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
2017,7,-0.00840854,-0.00714776,1.079669606,780.54785,3.6919048,-14.066363,472.44281,975.96027,467.92929
2017,8,0,0,1.106300201,780.63544,3.8339131,-16.606396,471.66174,976.20953,468.16418
2017,9,0.02567653,-0.00121448,1.10453559,782.11536,3.7266667,-17.51545,470.68848,976.35443,468.47031
2017,10,0,-0.01139784,1.156566976,784.65759,3.4922729,-16.175144,472.64398,976.38165,468.68753
2017,11,-0.00477469,0,1.283581415,786.07782,3.6818182,-16.02021,472.90872,977.2934,468.88303
2017,12,-0.01009913,-0.00689272,1.40846047,788.76837,3.6005001,-16.856474,472.78961,977.47314,469.04141
2018,1,0.00717431,0.01832028,1.399485364,793.35742,3.3495455,-19.872137,470.67529,977.62189,469.24286
2018,2,0,0,1.546020686,790.27051,3.5420001,-21.087114,470.10419,977.62543,469.45172
2018,3,-0.00507552,-0.01888285,1.646319034,790.18103,3.6347618,-20.994057,470.51523,977.51404,469.68759
2018,4,0,0.00332183,1.705115737,788.36121,3.4733334,-20.505659,470.32904,977.99048,470.03622
2018,5,-0.01203766,0,1.769170334,790.14905,3.4686956,-16.649372,472.9726,978.74603,470.34149
2018,6,0.01829699,-0.04048617,1.890022493,792.08936,3.4395239,-15.511946,474.66263,978.42267,470.52826
2018,7,0,-0.0071301,1.918671457,793.50293,3.5899999,-15.577504,474.92007,979.16205,470.65097
2018,8,-0.00281682,0,2.010714079,795.77673,3.4526088,-14.396169,475.46844,979.11414,470.72125
2018,9,0.02361061,0.00519268,2.165418118,797.29669,3.3445001,-15.344752,475.99655,979.05493,470.85739
2018,10,0,0.01894266,2.29952411,793.1651,3.5191305,-13.834886,476.42334,979.59937,471.082
2018,11,0.00045352,0,2.403006906,790.94189,4.0172729,-12.810419,477.62076,979.28986,471.19412
2018,12,0.12176616,-0.00394399,2.530868834,784.97198,4.7635002,-12.96349,477.67343,979.04266,471.27277
2019,1,-0.06636589,0.01658457,2.494002952,786.58398,4.5722728,-13.245531,475.80463,980.37183,471.2406
2019,2,0,0,2.455418962,792.10535,4.1280003,-12.672185,475.64346,979.86475,471.34384
2019,3,-0.02504375,0.00813166,2.40345582,793.87506,4.0085716,-12.242757,475.89679,979.69012,471.55112
2019,4,0,-0.00263791,2.408730447,797.37415,3.7833333,-11.672611,475.88937,980.41931,471.84872
2019,5,0.04353897,0,2.414468224,795.65759,4.0639129,-11.194865,476.9577,980.4765,472.01129
2019,6,-0.10149367,0.02925397,2.185719702,796.89069,4.2214999,-12.161784,476.64276,980.4588,472.19241
